"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Physically hardened or ruggedized systems",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
"Disk Array",,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Laptop,,RIS,"Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Physically hardened or ruggedized systems",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Desktop,"One more","EDI Gateway","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Physically secured demarcation points",TBD,TBD
"Desktop / Laptop",,"Another Two","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
"Disk Array",,"Another Two","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Laptop,,"Laboratory Information System","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Laptop,,RIS,"Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
"Storage Area Network",,"Another Two","Network Connectivity Outage","Loss of Internet connectivity","Vulnerabilities related to telecommunications providers","Physically secured demarcation points",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless IT personnel","Insecure User Management","Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Physically securing devices or systems when not in use",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Laptop,,"Laboratory Information System",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Laptop,,RIS,Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Smartphone,,"Another Two",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Tablet,,"Another Two#|#RIS",Burglar/Thief,Burglary/Theft,"Physical Security vulnerabilities","Physically securing devices or systems when not in use",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of simultaneous user logins",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Laptop,,RIS,"System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Denial of Service","Insecure Network Configuration","Prevention of simultaneous user logins",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in user authentication","Prevention of simultaneous user logins",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
"Disk Array",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Laptop,,RIS,"Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Installation of malicious software","Overly-trusting employees","Prevention of user storing data locally (terminals, VDI, etc.)",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Principle of least privilege",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Denial of Service","Insecure Network Configuration","Principle of least privilege",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Desktop / Laptop",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Disk Array",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,,"Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Laptop,,RIS,"Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Storage Area Network",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Principle of least privilege",TBD,TBD
"Desktop / Laptop",,"Another Two","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
"Disk Array",,"Another Two","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Laptop,,"Laboratory Information System","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Laptop,,RIS,"Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
"Storage Area Network",,"Another Two","Inclement weather","Unavailability of key personnel","Lack of key person redundancy / cross-training","Process documentation",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"One more","EDI Gateway",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"One more","EDI Gateway",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"One more","EDI Gateway","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless user","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Desktop / Laptop",,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Disk Array",,"Another Two",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Disk Array",,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Disk Array",,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,"Laboratory Information System",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,"Laboratory Information System",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,"Laboratory Information System","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,RIS,Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,RIS,Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Laptop,,RIS,"Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Earthquake,"Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Flood,"Water damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Protective enclosures for non-mobile equipment",TBD,TBD
